detail_id,detail_title
SFR-BA-010-0110,[디지털감사] 현장감사 진행관리 마감 수립
SFR-BA-010-0101,[디지털감사] 문서 생성 작성 현장감사 관리체계 수립
SFR-BA-010-0201,[디지털감사] 답변 문서 생성 작성 관리체계 수립
SFR-BA-010-0301,[디지털감사] 감사협조 문서 생성 작성 관리체계 수립
SFR-BA-010-0401,[디지털감사] 현장 문서 생성 작성 관리체계 수립
SFR-BA-010-0501,[디지털감사] 검사 문서 생성 작성 관리체계 수립
SFR-BA-010-0601,[디지털감사] 봉인 문서 생성 작성 관리체계 수립
SFR-BA-010-0701,[디지털감사] 증거보존 문서 생성 작성 관리체계 수립
SFR-BA-010-0801,[디지털감사] 제출 문서 생성 작성 관리체계 수립
SFR-BA-010-0901,[디지털감사] 등록재산 문서 생성 작성 관리체계 수립
SFR-BA-010-1001,[디지털감사] 회의 문서 생성 작성 관리체계 수립
SFR-BA-010-1101,[디지털감사] 연관 내역 정보 현장감사 관리체계 수립
SFR-BA-010-1102,[디지털감사] 현장감사 진행관리 정보관리 감사관 수립
SFR-BA-010-1103,[디지털감사] 현장감사 진행관리 정보관리 문서 수립
SFR-BA-010-1201,[디지털감사] 상황 감사단장 보고할 현장감사 기능 제공
SFR-BA-010-1301,[디지털감사] 통보 정보 현장감사 진행관리 기능 제공
SFR-BA-011-0102,[디지털감사] 현장감사 서류 관리 질문서 수립
SFR-BA-011-0103,[디지털감사] 현장감사 서류 관리 답변서 수립
SFR-BA-011-0104,[디지털감사] 현장감사 서류 관리 문답서 수립
SFR-BA-011-0101,[디지털감사] 증거서류 방안 현장감사 관리체계 수립
SFR-BA-011-0201,[디지털감사] 내역 정보 현장감사 서류 관리체계 수립
SFR-BA-011-0202,[디지털감사] 통보 내역 정보 현장감사 관리체계 수립
SFR-BA-011-0203,[디지털감사] 내역 정보 현장감사 서류 제시
SFR-BA-011-0204,[디지털감사] 채권보전 내역 정보 현장감사 제시
SFR-BA-011-0205,[디지털감사] 직무정지 내역 정보 현장감사 제시
SFR-BA-011-0301,[디지털감사] 단계별 면책 신청 의한 검토 절차 수립
SFR-BA-011-0302,[디지털감사] 결과 입력 현장감사 서류 기능 제공
SFR-BA-012-0101,[디지털감사] 처리 결과보고서 작성 감사결 지원 체계 구축
SFR-BA-012-0102,[디지털감사] 감사계획 대비 정리 보고서 작성 체계 수립
SFR-BA-012-0103,[디지털감사] 감사결 보고 처리 직무역량모니터링 수립
SFR-BA-012-0104,[디지털감사] 개별사건 처리안 처분요구안 감사결 작성 체계 수립
SFR-BA-012-0105,[디지털감사] 감사결 보고 처리 적극행정면책 수립
SFR-BA-012-0201,[디지털감사] 작성 조사개시통보 등에서 감사결 관리체계 수립
SFR-BA-012-0202,[디지털감사] 선택 공개문 작성 감사결 기능 제공
SFR-BA-012-0203,[디지털감사] 입력 정상 매핑여부 검증 기능 제공
SFR-BA-012-0204,[디지털감사] 법률지원 기능 감사지원 감사결 연계 체계 구축
SFR-BA-012-0301,[디지털감사] 편집기 증거서류 시스템 감사결 등록 기능 제공
SFR-BA-013-0101,[디지털감사] 최고의사결정 기구인 감사위원회 부의 준비 절차 수립
SFR-BA-013-0102,[디지털감사] 주심위원 선정 감사위원회 검토 절차 수립
SFR-BA-013-0103,[디지털감사] 감사위원회 소위원회 수립
SFR-BA-013-0104,[디지털감사] 감사위원회 주심위원 직권 심리 수립
SFR-BA-013-0105,[디지털감사] 부의안 요약서 감사위원회 작성 체계 수립
